aalib 1.4rc5-10
libunistring 0.9.4-1
libusb 1.0.19-1
libusbmuxd 1.0.9-1
libutempter 1.1.6-2
libutil-linux 2.25.2-1
libva 1.5.0-1
libva-intel-driver 1.5.0-1
libva-mesa-driver 10.4.1-1
libvdpau 0.8-1
libvisual 0.4.0-5
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwacom 0.11-1
libwbclient 4.1.14-2
libwebp 0.4.2-1
libwnck3 3.14.0-1
libx11 1.6.2-2
libx264 1:142.20140826-2
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.11-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.1-2
libxext 1.3.3-1
libxfixes 5.0.1-1
libxfont 1.5.0-1
libxft 2.3.2-1
libxi 1.7.4-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbcommon-x11 0.5.0-1
libxkbfile 1.0.8-2
libxklavier 5.4-1
libxml2 2.9.2-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.8-1
libxxf86vm 1.1.3-1
libyaml 0.1.6-1
libytnef 1.5-4
licenses 20140629-1
linux 3.17.6-1
linux-api-headers 3.18.1-1
linux-firmware 20141201.38e5405-1
llvm-libs 3.5.0-3
logrotate 3.8.8-2
lua 5.2.3-1
lvm2 2.02.114-1
lz4 127-1
lzo 2.08-3
m4 1.4.17-1
make 4.1-1
man-db 2.7.1-1
man-pages 3.76-1
mash 0.2.0-3
mc 4.8.13-1
mcpp 2.7.2-5
mdadm 3.3.2-1
mesa 10.4.1-1
mesa-libgl 10.4.1-1
mesa-vdpau 10.4.1-1
mime-types 9-1
mjpegtools 2.1.0-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mobile-broadband-provider-info 20120614-2
mod_dnssd 0.6-6
modemmanager 1.2.0-5
mousetweaks 3.12.0-1
mozilla-common 1.4-4
mpfr 3.1.2.p11-1
mpg123 1.21.0-1
mtdev 1.1.5-1
mutter 3.14.3-1
nano 2.2.6-3
nautilus 3.14.2-2
nautilus-sendto 3.8.2-1
ncurses 5.9-7
neon 0.30.1-1
nettle 2.7.1-1
network-manager-applet 0.9.10.0-2
networkmanager 0.9.10.0-4
npth 1.1-1
nspr 4.10.7-1
nss 3.17.3-2
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openssh 6.7p1-1
openssl 1.0.1.j-1
opus 1.1-1
orc 0.4.23-1
os-prober 1.64-1
p11-kit 0.22.1-3
pacman 4.2.0-5
pacman-mirrorlist 20150105-1
pam 1.1.8-5
pambase 20130928-1
pango 1.36.8-1
pangomm 2.34.0-1
parted 3.2-1
patch 2.7.1-3
pciutils 3.3.0-1
pcmciautils 018-7
pcre 8.36-2
perl 5.20.1-1
perl-error 0.17022-1
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.43-1
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-3
perl-xml-simple 2.20-3
pinentry 0.9.0-1
pixman 0.32.6-1
pkg-config 0.28-2
pkgfile 15-1
polkit 0.112-2
poppler 0.29.0-1
poppler-glib 0.29.0-1
popt 1.16-7
powertop 2.7-1
ppp 2.4.7-1
procps-ng 3.3.10-1
psmisc 22.21-2
pth 2.0.7-5
pulseaudio 5.0-1
pulseaudio-alsa 2-3
pygobject-devel 3.14.0-2
python 3.4.2-1
python-cairo 1.10.0-4
python-gobject 3.14.0-2
python-xdg 0.25-2
python2 2.7.9-1
python2-atspi 2.12.0-1
python2-beaker 1.6.4-2
python2-cairo 1.10.0-2
python2-gobject 3.14.0-2
python2-mako 1.0.0-1
python2-markupsafe 0.23-1
randrproto 1.4.0-2
readline 6.3.006-1
recode 3.6-8
recordproto 1.14.2-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.92-1
rsync 3.1.1-2
rtkit 0.11-4
rtmpdump 20140918-2
ruby 2.2.0-1
run-parts 4.4-1
s-nail 14.7.10-1
sbc 1.3-1
schroedinger 1.0.11-2
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sed 4.2.2-3
